Exp,Group (from pres),Group Code,Code,"abundant', 'common', 'few', 'rare'",Definition,,"Extracted from heterogeneous ""group abundance""-related Field at collection level",,
318,(diatoms),B,B,Barren,barren,barren,,,
318,(ebridians),F[318_Si],F,Few,few (ณ1 valve every 10 fields of view and <1 valve per field of view),few,,,
318,(ebridians),R[318_Si],R,Rare,rare (ณ3 valves per traverse and <1 valve per 10 fields of view),rare,,,
318,(ebridians),X[318_Si],X,Rare,"trace (<3 valves per traverse, including fragments)",rare,,,
318,(nannos),B,B,Barren,barren,barren,,,
318,(silicoflag),F,F,Few,few (ณ1 valve every 10 fields of view and <1 valve per field of view),few,,,
318,(silicoflag),R,R,Rare,rare (ณ3 valves per traverse and <1 valve per 10 fields of view),rare,,,
318,(silicoflag),X,X,Rare,"trace (<3 valves per traverse, including fragments)",rare,,,
318,Diatom preservation dissolution (diatoms),A,A,Abundant,abundant (>10 valves per field of view),abundant,,,
318,Diatom preservation dissolution (diatoms),C,C,Common,common (ณ1ะ10 valves per field of view),common,,,
318,Diatom preservation dissolution (diatoms),C-A,C-A,Common,"undefined, suggest ~10 valves per field of view",common,,,
318,Diatom preservation dissolution (diatoms),F,F,Few,few (ณ1 valve every 10 fields of view and <1 valve per field of view),few,,,
318,Diatom preservation dissolution (diatoms),F-C,F-C,Few,"undefined, suggest ~1 valve per field of view",few,,,
318,Diatom preservation dissolution (diatoms),R,R,Rare,rare (ณ3 valves per traverse and <1 valve per 10 fields of view),rare,,,
318,Diatom preservation dissolution (diatoms),R-F,R-F,Rare,"undefined, suggest ~1 valve per 10 fields of view",rare,,,
318,Diatom preservation dissolution (diatoms),X,X,Rare,"trace (<3 valves per traverse, including fragments)",rare,,,
318,Diatom preservation dissolution (diatoms),X-R,X-R,Rare,"undefined, suggest ~3 valves per field of view",rare,,,
318,Preservation (nannos),A,A,Abundant,abundant (>50 nannoliths per field of view),abundant,,,
318,Preservation (nannos),B,B,Barren,barren,barren,,,
318,Preservation (nannos),C,C,Common,common (10ะ49 nannoliths per field of view),common,,,
318,Preservation (nannos),F,F,Few,few (1 to 9 nannoliths per field of view),few,,,
318,Preservation (nannos),R,R,Rare,rare (<1% nannoliths per field of view),rare,,,
318,,X[318_Si],X,Rare,"trace (<3 valves per traverse, including fragments)",rare,,,
320,(nannos),A [320_Ng],A,Abundant,abundant (>50%ะ90% of sediment particles),abundant,,,
320,(nannos),B [320_Ng],B,Barren,barren,barren,,,
320,(planktic foram),0,0,arren,count,,,,
320,(rads),A,A,Abundant,abundant (qualitative assessment),abundant,,,
320,(rads),B,B,Barren,barren,barren,,,
320,(rads),C,C,Common,common (qualitative assessment),common,,,
320,(rads),G,,,,,Likely preservation not abundance,,
320,(rads),M,,,,,Likely preservation not abundance,,
320,Preservation (nannos),A [320_Ng],A,Abundant,abundant (>50%ะ90% of sediment particles),abundant,,,
320,Preservation (nannos),B [320_Ng],B,Barren,barren,barren,,,
320,Preservation (nannos),C [320_Ng],C,Common,common (>10%ะ50% of sediment particles),common,,,
320,Preservation (nannos),D [320_Ng],D,Abundant,dominant (>90% of sediment particles),abundant,,,
320,Preservation (nannos),F [320_Ng],F,Few,few (1%ะ10% of sediment particles),few,,,
320,Preservation (nannos),R [320_Ng],R,Rare,rare (<1% of sediment particles),rare,,,
320,Preservation (planktic foram),0,0,Barren,count,,,,
320,Preservation (planktic foram),1,1,Rare,count,,,,
320,Preservation (planktic foram),2,2,Rare,count,,,,
320,Preservation (planktic foram),5,5,Rare,count,,,,
320,Preservation (planktic foram),6,6,Rare,count,,,,
320,Preservation (planktic foram),10,10,Few,count,,,,
320,Preservation (planktic foram),15,15,Few,count,,,,
320,Preservation (planktic foram),20,20,Few,count,,,,
320,Preservation (planktic foram),24,24,Common,count,,,,
320,Preservation (planktic foram),25,25,Common,count,,,,
320,Preservation (planktic foram),30,30,Common,count,,,,
320,Preservation (planktic foram),32,32,Common,count,,,,
320,Preservation (planktic foram),35,35,Common,count,,,,
320,Preservation (planktic foram),40,40,Common,count,,,,
320,Preservation (planktic foram),42,42,Common,count,,,,
320,Preservation (planktic foram),43,43,Common,count,,,,
320,Preservation (planktic foram),50,50,Common,count,,,,
320,Preservation (planktic foram),60,60,Common,count,,,,
320,Preservation (planktic foram),65,65,Abundant,count,,,,
320,Preservation (planktic foram),67,67,Abundant,count,,,,
320,Preservation (planktic foram),70,70,Abundant,count,,,,
320,Preservation (planktic foram),77,77,Abundant,count,,,,
320,Preservation (planktic foram),78,78,Abundant,count,,,,
320,Preservation (planktic foram),80,80,Abundant,count,,,,
320,Preservation (planktic foram),84,84,Abundant,count,,,,
320,Preservation (planktic foram),85,85,Abundant,count,,,,
320,Preservation (planktic foram),87,87,Abundant,count,,,,
320,Preservation (planktic foram),89,89,Abundant,count,,,,
320,Preservation (planktic foram),90,90,Abundant,count,,,,
320,Preservation (planktic foram),92,92,Abundant,count,,,,
320,Preservation (planktic foram),95,95,Abundant,count,,,,
320,Preservation (planktic foram),96,96,Abundant,count,,,,
320,Preservation (planktic foram),98,98,Abundant,count,,,,
320,Preservation (planktic foram),99,99,Abundant,count,,,,
320,Preservation (planktic foram),<1,<1,Rare,count,,,,
320,Preservation (planktic foram),<10,<10,Few,count,,,,
320,Preservation (planktic foram),<2,<2,Rare,count,,,,
320,Preservation (planktic foram),<30,<30,Common,count,,,,
320,Preservation (planktic foram),<5,<5,Few,count,,,,
320,Preservation (planktic foram),>50,>50,Abundant,count,,,,
320,Preservation (planktic foram),>80,>80,Abundant,count,,,,
320,Preservation (planktic foram),>90,>90,Abundant,count,,,,
320,Preservation (planktic foram),>95,>95,Abundant,count,,,,
320,Preservation (rads),A,A,Abundant,abundant (qualitative assessment),abundant,,,
320,Preservation (rads),C,C,Common,common (qualitative assessment),common,,,
320,Preservation (rads),F,F,Few,few (qualitative assessment),few,,,
320,Preservation (rads),R,R,Rare,rare (qualitative assessment),rare,,,
321,(diatoms),B,B,Barren,barren,barren,,,
321,(diatoms),C,C,Common,common (>10%ะ50% of sediment particles),common,,,
321,(rads),B,B,Barren,barren,barren,,,
321,Preservation (diatoms),A,A,Abundant,abundant (>50%ะ90% of sediment particles),abundant,,,
321,Preservation (diatoms),C,C,Common,common (>10%ะ50% of sediment particles),common,,,
321,Preservation (diatoms),F,F,Few,few (1%ะ10% of sediment particles),few,,,
321,Preservation (diatoms),R,R,Rare,rare (<1% of sediments particles),rare,,,
321,Preservation (nannos),A,A,Abundant,abundant (>50%ะ90% of sediment particles),abundant,,,
321,Preservation (nannos),C,C,Common,common (>10%ะ50% of sediment particles),common,,,
321,Preservation (nannos),D,D,Abundant,dominant (>90% of sediment particles),abundant,,,
321,Preservation (nannos),F,F,Few,few (1%ะ10% of sediment particles),few,,,
321,Preservation (nannos),R,R,Rare,rare (<1% of sediment particles),rare,,,
321,Preservation (rads),A,A,Abundant,abundant (qualitative assessment),abundant,,,
321,Preservation (rads),C,C,Common,common (qualitative assessment),common,,,
321,Preservation (rads),R,R,Rare,rare (qualitative assessment),rare,,,
321,Preservation (rads),vR,VR,Rare,"undefined, suggest very rare (qualitative assessment)",rare,,,
323,(benthic foram),B,B,Barren,barren,barren,,,
323,(diatoms),B,B,Barren,barren,barren,,,
323,(nannos),B,B,Barren,barren,barren,,,
323,(planktic foram),B,B,Barren,barren,barren,,,
323,(silicoflag),B,B,Barren,barren,barren,,,
323,Preservation (benthic foram),A,A,Abundant,abundant (>10%ะ30% of total residue),abundant,,,
323,Preservation (benthic foram),D,D,Abundant,dominant (>30% of total residue),abundant,,,
323,Preservation (benthic foram),F,F,Few,few (>5%ะ10% of total residue),few,,,
323,Preservation (benthic foram),G,,,,,Likely preservation not abundance,,
323,Preservation (benthic foram),M,,,,,Likely preservation not abundance,,
323,Preservation (benthic foram),P,P,Rare,present (<1% of total residue),rare,,,
323,Preservation (benthic foram),R,R,Rare,rare (1%ะ5% of total residue),rare,,,
323,Preservation (diatoms),20.8,,,,,Depth/age in wrong spot,,
323,Preservation (diatoms),30.48,,,,,Depth/age in wrong spot,,
323,Preservation (diatoms),A,A,Abundant,abundant (~20%ะ60% diatoms),abundant,,,
323,Preservation (diatoms),C,C,Common,common (~5%ะ20% diatoms),common,,,
323,Preservation (diatoms),C-A,C-A,Common,"undefined, suggest ~20% diatoms",common,,,
323,Preservation (diatoms),F,F,Few,few (2%ะ5% diatoms),few,,,
323,Preservation (diatoms),F-C,F-C,Few,"undefined, suggest ~5% diatoms",few,,,
323,Preservation (diatoms),M,,,,,Unclear if this is preservation or count. Mass is used in some diatom abundances to be >60% diatoms. Clearly M-G and P-M are preservation states,,
323,Preservation (diatoms),M-G,,,,,Likely preservation not abundance,,
323,Preservation (diatoms),P,,Rare,,,Likely preservation not abundance,,
323,Preservation (diatoms),P-M,,Rare,,,Likely preservation not abundance,,
323,Preservation (diatoms),R,R,Rare,rare (<2% diatoms),rare,,,
323,Preservation (diatoms),R-F,R-F,Rare,"undefined, suggest ~2% diatoms",rare,,,
323,Preservation (ebridians),A,A,Abundant,abundant (>50 specimens over eight traverses at 400x),abundant,,,
323,Preservation (ebridians),C,C,Common,common (16ะ50 specimens over eight traverses at 400x),common,,,
323,Preservation (ebridians),F,F,Few,few (6ะ15 specimens over eight traverses at 400x),few,,,
323,Preservation (ebridians),R,R,Rare,rare (2ะ5 specimens over eight traverses at 400x),rare,,,
323,Preservation (ebridians),T,X,Rare,trace (1 specimen over eight traverses at 400x) original code = T,rare,,,
323,Preservation (nannos),A,A,Abundant,abundant (>1 specimen per field of view),abundant,,,
323,Preservation (nannos),B,B,Barren,barren,barren,,,
323,Preservation (nannos),C,C,Common,common (ฒ1 specimen per field of view),common,,,
323,Preservation (nannos),F,F,Few,few (<1 specimen per 2ะ10 fields of view),few,,,
323,Preservation (nannos),R,R,Rare,rare (<1 specimen per 11ะ100 fields of view),rare,,,
323,Preservation (planktic foram),A,A,Abundant,abundant (>10%ะ30% of total residue),abundant,,,
323,Preservation (planktic foram),D,D,Abundant,dominant (>30% of total residue),abundant,,,
323,Preservation (planktic foram),F,F,Few,few (>5%ะ10% of total residue),few,,,
323,Preservation (planktic foram),P,P,Rare,present (<1% of total residue),rare,,,
323,Preservation (planktic foram),R,R,Rare,rare (1%ะ5% of total residue),rare,,,
323,Preservation (rads),A,A,Abundant,abundant (>200 specimens per slide traverse),abundant,,,
323,Preservation (rads),C,C,Common,common (50ะ200 specimens per slide traverse),common,,,
323,Preservation (rads),F,F,Few,few (1ะ49 specimens per slide traverse),few,,,
323,Preservation (rads),N,B,Barren,barren original code = N,barren,,,
323,Preservation (silicoflag),A,A,Abundant,abundant (>50 specimens over eight traverses at 400x),abundant,,,
323,Preservation (silicoflag),B,B,Barren,barren,barren,,,
323,Preservation (silicoflag),C,C,Common,common (16ะ50 specimens over eight traverses at 400x),common,,,
323,Preservation (silicoflag),F,F,Few,few (6ะ15 specimens over eight traverses at 400x),few,,,
323,Preservation (silicoflag),R,R,Rare,rare (2ะ5 specimens over eight traverses at 400x),rare,,,
323,Preservation (silicoflag),T,X,Rare,trace (1 specimen over eight traverses at 400x) original code = T,rare,,,
324,(nannos),C,C,Common,common (>1ะ10 specimens per field of view),common,,,
324,Preservation (benthic foram),A,A,Abundant,abundant (ณ11 specimens in ~200 specimens),abundant,,,
324,Preservation (nannos),A,A,Abundant,abundant (>10ะ100 specimens per field of view),abundant,,,
324,Preservation (nannos),C,C,Common,common (>1ะ10 specimens per field of view),common,,,
324,Preservation (nannos),F,Freq,Abundant,frequent (1 specimen per 1ะ10 fields of view),abundant,,,
324,Preservation (nannos),R,R,Rare,rare (<1 specimen per 10 fields of view),rare,,,
325,Preservation (benthic foram),R,R,Rare,"undefined, suggest rare (2ะ3 specimens in ~200 specimens)",rare,,,
326,Preservation (benthic foram),F,,Few,,,I think there's something wrong w/ the Exp numbers here. ,,
327,Preservation (benthic foram),F,,Few,,,I think there's something wrong w/ the Exp numbers here,,
328,Preservation (benthic foram),A,,Abundant,,,I think there's something wrong w/ the Exp numbers here,,
329,Preservation (benthic foram),F,,Few,,,I think there's something wrong w/ the Exp numbers here,,
330,(nannos),B,B,Barren,barren,barren,,,
330,(planktic foram),B,B,Barren,barren,barren,,,
330,PF Preservation (planktic foram),A,A,Abundant,abundant (>50% foraminiferal abundance in the >150 ตm fraction in relation to the total residue),abundant,,,
330,PF Preservation (planktic foram),C,C,Common,common (>25%ะ50% foraminiferal abundance in the >150 ตm fraction in relation to the total residue),common,,,
330,PF Preservation (planktic foram),F,F,Few,few (>10%ะ25% foraminiferal abundance in the >150 ตm fraction in relation to the total residue),few,,,
330,Preservation (benthic foram),A,A,Abundant,abundant (>50%foraminiferal abundance in the >150 ตm fraction in relation to the total residue),abundant,,,
331,Preservation (benthic foram),A,,Abundant,,,I think there's something wrong w/ the Exp numbers here,,
332,Preservation (benthic foram),A,,Abundant,,,I think there's something wrong w/ the Exp numbers here,,
333,Preservation (benthic foram),A,,Abundant,,,I think there's something wrong w/ the Exp numbers here,,
334,Preservation (benthic foram),R,,Rare,,,I think there's something wrong w/ the Exp numbers here,,
335,Preservation (benthic foram),R,,Rare,,,I think there's something wrong w/ the Exp numbers here,,
336,Preservation (benthic foram),A,,Abundant,,,I think there's something wrong w/ the Exp numbers here,,
337,Preservation (benthic foram),F,,Few,,,I think there's something wrong w/ the Exp numbers here,,
338,Preservation (benthic foram),F,,Few,,,I think there's something wrong w/ the Exp numbers here,,
339,(benthic foram),B,B,Barren,barren,barren,,,
339,(nannos),*,*,Barren,"undefined, suggest reworked",,,,
339,(nannos),B,B,Barren,barren,barren,,,
339,(palynology),A,A-D,Abundant,abundant (>2000/cm3),abundant,,,
339,(planktic foram),A,A,Abundant,abundant (>10%ะ30% foraminiferal abundance in the >150 ตm fraction in relation to the total residue),abundant,,,
339,(planktic foram),B,B,Barren,barren,barren,,,
339,(planktic foram),D,D,Abundant,dominant (>30% foraminiferal abundance in the >150 ตm fraction in relation to the total residue),abundant,,,
339,(planktic foram),P,P,Rare,present (<1% foraminiferal abundance in the >150 ตm fraction in relation to the total residue),rare,,,
339,BF preservation (benthic foram),A,A,Abundant,abundant (>10%ะ30% foraminiferal abundance in the >150 ตm fraction in relation to the total residue),abundant,,,
339,BF preservation (benthic foram),D,D,Abundant,dominant (>30% foraminiferal abundance in the >150 ตm fraction in relation to the total residue),abundant,,,
339,BF preservation (benthic foram),F,F,Few,few (>5%ะ10% foraminiferal abundance in the >150 ตm fraction in relation to the total residue),few,,,
339,BF preservation (benthic foram),P,P,Rare,present (<1% foraminiferal abundance in the >150 ตm fraction in relation to the total residue),rare,,,
339,BF preservation (benthic foram),R,R,Rare,rare (1%ะ5% foraminiferal abundance in the >150 ตm fraction in relation to the total residue),rare,,,
339,Group preservation (palynology),A,A,Abundant,abundant (>2000/cm3),abundant,,,
339,Group preservation (palynology),C,C,Common,common (500ะ2000/cm3),common,,,
339,PF preservation (planktic foram),A,A,Abundant,abundant (>10%ะ30% foraminiferal abundance in the >150 ตm fraction in relation to the total residue),abundant,,,
339,PF preservation (planktic foram),B,B,Barren,barren,barren,,,
339,PF preservation (planktic foram),D,D,Abundant,dominant (>30% foraminiferal abundance in the >150 ตm fraction in relation to the total residue),abundant,,,
339,PF preservation (planktic foram),F,F,Few,few (>5%ะ10% foraminiferal abundance in the >150 ตm fraction in relation to the total residue),few,,,
339,PF preservation (planktic foram),P,P,Rare,present (<1% foraminiferal abundance in the >150 ตm fraction in relation to the total residue),rare,,,
339,PF preservation (planktic foram),R,R,Rare,rare (1%ะ5% foraminiferal abundance in the >150 ตm fraction in relation to the total residue),rare,,,
339,Preservation (benthic foram),A,A,Abundant,abundant (>10%ะ30% foraminiferal abundance in the >150 ตm fraction in relation to the total residue),abundant,,,
339,Preservation (nannos),A,A,Abundant,abundant (11ะ100 specimens per field of view),abundant,,,
339,Preservation (nannos),C,C,Common,common (1ะ10 specimens per field of view),common,,,
339,Preservation (nannos),F,F,Few,few (1 specimen per 2ะ10 fields of view),few,,,
339,Preservation (nannos),P,P,Rare,"undefined, suggest present < 1 specimen per 11 fields of view)",rare,,,
339,Preservation (nannos),R,R,Rare,rare (1 specimen per ณ11 fields of view),rare,,,
339,Preservation (nannos),VA,VA,Abundant,very abundant (>100 specimens per field of view),abundant,,,
339,Preservation (nannos),vA,VA,Abundant,very abundant (>100 specimens per field of view),abundant,,,
340,(benthic foram),B,B,Barren,barren,barren,,,
340,(planktic foram),B,B,Barren,barren,barren,,,
340,(planktic foram),P,P,Rare,present (<1% foraminiferal abundance in relation to the total residue in the >150 ตm fraction),rare,,,
340,PF Preservation (planktic foram),A,A,Abundant,abundant (>10%ะ30% foraminiferal abundance in relation to the total residue in the >150 ตm fraction),abundant,,,
340,PF Preservation (planktic foram),D,D,Abundant,dominant (>30% foraminiferal abundance in relation to the total residue in the >150 ตm fraction),abundant,,,
340,PF Preservation (planktic foram),F,F,Few,few (>5%ะ10% foraminiferal abundance in relation to the total residue in the >150 ตm fraction),few,,,
340,PF Preservation (planktic foram),P,P,Rare,present (<1% foraminiferal abundance in relation to the total residue in the >150 ตm fraction),rare,,,
340,PF Preservation (planktic foram),R,R,Rare,rare (1%ะ5% foraminiferal abundance in relation to the total residue in the >150 ตm fraction),rare,,,
340,Preservation (benthic foram),A,A,Abundant,abundant (>10%ะ30% foraminiferal abundance in relation to the total residue in the >150 ตm fraction),abundant,,,
340,Preservation (benthic foram),D,D,Abundant,dominant (>30% foraminiferal abundance in relation to the total residue in the >150 ตm fraction),abundant,,,
340,Preservation (benthic foram),F,F,Few,few (>5%ะ10% foraminiferal abundance in relation to the total residue in the >150 ตm fraction),few,,,
340,Preservation (benthic foram),P,P,Rare,present (<1% foraminiferal abundance in relation to the total residue in the >150 ตm fraction),rare,,,
340,Preservation (benthic foram),R,R,Rare,rare (1%ะ5% foraminiferal abundance in relation to the total residue in the >150 ตm fraction),rare,,,
340,Preservation (nannos),A,A,Abundant,abundant (1ะ10 specimens per field of view),abundant,,,
340,Preservation (nannos),B,B,Barren,barren,barren,,,
340,Preservation (nannos),C,C,Common,common (1 specimen per 2ะ10 fields of view),common,,,
340,Preservation (nannos),F,F,Few,few (1 specimen per 11ะ100 fields of view),few,,,
340,Preservation (nannos),R,R,Rare,rare (1 specimen per 101ะ1000 fields of view),rare,,,
341,(benthic foram),B,B,Barren,barren,barren,,,
341,(diatoms),B,B,Barren,barren,barren,,,
341,(diatoms),C,C,Common,common (~5%ะ20% valves),common,,,
341,(diatoms),D,D,Abundant,dominant (>60% valves),abundant,,,
341,(diatoms),R,R,Rare,rare (<2% valves),rare,,,
341,(planktic foram),B,B,Barren,barren,barren,,,
341,(planktic foram),P,P,Rare,present (<1% planktonic foraminifers in relation to the total >125 ตm size fraction),rare,,,
341,(rads),B,B,Barren,barren,barren,,,
341,(rads),R,R,Rare,rare (50ะ100 specimens per slide),rare,,,
341,Preservation (benthic foram),A,A,Abundant,abundant (>10%ะ30% benthic foraminifers in relation to the total >63 ตm size fraction),abundant,,,
341,Preservation (benthic foram),D,D,Abundant,dominant (>30% benthic foraminifers in relation to the total >63 ตm size fraction),abundant,,,
341,Preservation (benthic foram),F,F,Few,few (>5%ะ10% benthic foraminifers in relation to the total >63 ตm size fraction),few,,,
341,Preservation (benthic foram),G,,,,,Likely preservation not abundance,,
341,Preservation (benthic foram),P,P,Rare,present (<1% benthic foraminifers in relation to the total >63 ตm size fraction),rare,,,
341,Preservation (benthic foram),R,R,Rare,rare (1%ะ5% benthic foraminifers in relation to the total >63 ตm size fraction),rare,,,
341,Preservation (diatoms),A,A,Abundant,abundant (~20%ะ60% valves),abundant,,,
341,Preservation (diatoms),B,B,Barren,barren,barren,,,
341,Preservation (diatoms),C,C,Common,common (~5%ะ20% valves),common,,,
341,Preservation (diatoms),D,D,Abundant,dominant (>60% valves),abundant,,,
341,Preservation (diatoms),F,F,Few,few (2%ะ5% valves),few,,,
341,Preservation (diatoms),R,R,Rare,rare (<2% valves),rare,,,
341,Preservation (planktic foram),A,A,Abundant,abundant (>10%ะ30% planktonic foraminifers in relation to the total >125 ตm size fraction),abundant,,,
341,Preservation (planktic foram),C,C,Common,"undefined, suggest ~10% planktonic foraminifers in relation to the total >125 ตm size fraction",common,,,
341,Preservation (planktic foram),D,D,Abundant,dominant (>30% planktonic foraminifers in relation to the total >125 ตm size fraction),abundant,,,
341,Preservation (planktic foram),F,F,Few,few (>5%ะ10% planktonic foraminifers in relation to the total >125 ตm size fraction),few,,,
341,Preservation (planktic foram),P,P,Rare,present (<1% planktonic foraminifers in relation to the total >125 ตm size fraction),rare,,,
341,Preservation (planktic foram),R,R,Rare,rare (1%ะ5% planktonic foraminifers in relation to the total >125 ตm size fraction),rare,,,
341,Preservation (rads),A,A,Abundant,abundant (>300 specimens per slide),abundant,,,
341,Preservation (rads),B,B,Barren,barren,barren,,,
341,Preservation (rads),C,C,Common,common (200ะ300 specimens per slide),common,,,
341,Preservation (rads),F,F,Few,few (100ะ200 specimens per slide),few,,,
341,Preservation (rads),R,R,Rare,rare (50ะ100 specimens per slide),rare,,,
342,(benthic foram),B,B,Barren,barren,barren,,,
342,(benthic foram),b,B,Barren,barren,barren,,,
342,(benthic foram),F,F,Few,few (>5% to <10% of total sediment particles),few,,,
342,(benthic foram),P,P,Rare,present (<1% of total sediment particles),rare,,,
342,(benthic foram),R,R,Rare,rare (>1% to <5% of total sediment particles),rare,,,
342,(nannos),A,A,Abundant,abundant (>50% of sediment particles),abundant,,,
342,(nannos),B,B,Barren,barren,barren,,,
342,(nannos),R,R,Rare,rare (<1% of sediment particles),rare,,,
342,(nannos),VB,VR,Rare,"undefined, suggest very rare (<5 specimens seen while logging slide), original code VB",,,,
342,(planktic foram),B,B,Barren,barren,barren,,,
342,(planktic foram),C,C,Common,"undefined, suggest common (20ะ49 specimens on the tray)",common,,,
342,(rads),A,A,Abundant,"abundant (>10,000 specimens in a 5 cm3สsample)",abundant,,,
342,(rads),B,B,Barren,barren,barren,,,
342,(rads),C,C,Common,"common (2000ะ10,000 specimens in a 5 cm3สsample)",common,,,
342,(rads),R,R,Rare,rare (500ะ1999 specimens in a 5 cm3สsample),rare,,,
342,Preservation (benthic foram),A,A,Abundant,abundant (>10%ะ30% of total sediment particles),abundant,,,
342,Preservation (benthic foram),D,D,Abundant,dominant (>30% of total sediment particles),abundant,,,
342,Preservation (benthic foram),F,F,Few,few (>5% to <10% of total sediment particles),few,,,
342,Preservation (benthic foram),P,P,Rare,present (<1% of total sediment particles),rare,,,
342,Preservation (benthic foram),R,R,Rare,rare (>1% to <5% of total sediment particles),rare,,,
342,Preservation (nannos),A,A,Abundant,abundant (>50% of sediment particles),abundant,,,
342,Preservation (nannos),A/D,A-D,Abundant,"undefined, suggest >>50% of sediment particles",abundant,,,
342,Preservation (nannos),almost barren,VR,Rare,"very rare (<5 specimens seen while logging slide), original code ""almost barren""",rare,,,
342,Preservation (nannos),C,C,Common,common (>10%ะ50% of sediment particles),common,,,
342,Preservation (nannos),C-A,C-A,Common,"undefined, suggest ~50% of sediment particles",common,,,
342,Preservation (nannos),C-R,C-R,Common,"undefined, suggest few (1%-10% of sediment particles)",common,,,
342,Preservation (nannos),F,F,Few,few (1%ะ10% of sediment particles),few,,,
342,Preservation (nannos),F-C,F-C,Few,"undefined, suggest ~10% of sediment particles",few,,,
342,Preservation (nannos),R,R,Rare,rare (<1% of sediment particles),rare,,,
342,Preservation (nannos),VR,VR,Rare,very rare (<5 specimens seen while logging slide),rare,,,
342,Preservation (planktic foram),A,A,Abundant,abundant (>10%ะ30% of total sediment particles),abundant,,,
342,Preservation (planktic foram),B,B,Barren,barren,barren,,,
342,Preservation (planktic foram),C,C,Common,"undefined, suggest common (20ะ49 specimens on the tray)",common,,,
342,Preservation (planktic foram),D,D,Abundant,dominant (>30% of sediment particles),abundant,,,
342,Preservation (planktic foram),F,F,Few,few (>5% to <10% of total sediment particles),few,,,
342,Preservation (planktic foram),G,,,,,Likely preservation not abundance,,
342,Preservation (planktic foram),P,P,Rare,present (<1% of sediment particles),rare,,,
342,Preservation (planktic foram),R,R,Rare,rare (>1% to <5% of sediment particles),rare,,,
342,Preservation (rads),A,A,Abundant,"abundant (>10,000 specimens in a 5 cm3สsample)",abundant,,,
342,Preservation (rads),C,C,Common,"common (2000ะ10,000 specimens in a 5 cm3สsample)",common,,,
342,Preservation (rads),F,F,Few,few (<500 specimens in a 5 cm3สsample),few,,,
342,Preservation (rads),R,R,Rare,rare (500ะ1999 specimens in a 5 cm3สsample),rare,,,
343,Preservation (benthic foram),F,F,Few,undefined,few,,,
343,Preservation (rads),C,C,Common,undefined,common,,,
344,(nannos),B,B,Barren,barren,barren,,,
344,Preservation (benthic foram),F,F,Few,few (5%ะ10% of the >125สตm size fraction),few,,,
344,Preservation (nannos),A,A,Abundant,abundant (50%ะ90%) of sediment particles,abundant,,,
344,Preservation (nannos),C,C,Common,common (10%ะ50% of sediment particles),common,,,
344,Preservation (nannos),D,D,Abundant,dominant (>90% of sediment particles),abundant,,,
344,Preservation (nannos),F,F,Few,few (1%ะ10% of sediment particles),few,,,
344,Preservation (nannos),R,R,Rare,rare (<1% of sediment particles),rare,,,
344,Preservation (rads),A,A,Abundant,abundant (>200 specimens per slide traverse),abundant,,,
344,Preservation (rads),C,C,Common,common (50ะ200 specimens per slide traverse),common,,,
